category,tercile,era,window,N,mean_car,median_car,std_car,t_stat,p_value,pct_positive,fdr_survivor
Outcome of Board Meeting,t1,2023-2024,20d,1374,0.0051355553846496,-0.020427461442704797,0.13213566322615983,1.4406574675799722,0.14968147642538016,41.77583697234352,False
Outcome of Board Meeting,t1,2023-2024,2d,1374,-0.002839526849234082,-0.008913507687089761,0.042558276126017085,-2.4731776768608102,0.0133917544884157,40.53857350800582,True
Outcome of Board Meeting,t1,2023-2024,5d,1374,-0.0026763316808452566,-0.012951304370893757,0.06327552728802195,-1.5678247950093807,0.11692202664762374,39.88355167394469,False
Outcome of Board Meeting,t1,2025-2026,20d,1873,-0.0033616622191070546,-0.017208787799359193,0.11210961117769448,-1.297717363650943,0.19438447476890974,42.60544580886278,False
Outcome of Board Meeting,t1,2025-2026,2d,1873,-0.003581804642248274,-0.006220123283547152,0.043347870832966984,-3.5760453119226057,0.00034883121518419606,41.80459156433529,True
Outcome of Board Meeting,t1,2025-2026,5d,1873,-0.00506463818785506,-0.013734439245481234,0.06475222843073643,-3.385030567741004,0.0007117032842852016,39.2418579818473,True
Outcome of Board Meeting,t2,2020-2022,20d,999,-0.014804181183764972,-0.022470591028613263,0.10521151426733251,-4.447376167887934,8.692553914312363e-06,38.03803803803804,True
Outcome of Board Meeting,t2,2020-2022,2d,999,-0.003514671488892662,-0.005844751735991638,0.03803415886820116,-2.9207451641283906,0.003491953298165825,42.94294294294294,True
Outcome of Board Meeting,t2,2020-2022,5d,999,-0.007001419598046081,-0.010503449217999394,0.053495408883537314,-4.136683925009752,3.523609392943474e-05,40.64064064064064,True
Outcome of Board Meeting,t2,2023-2024,20d,1180,-0.008217051442916042,-0.01591281414244977,0.10007430486022946,-2.8205540563654816,0.0047940795568873085,42.3728813559322,True
Outcome of Board Meeting,t2,2023-2024,2d,1180,-0.005912093101331217,-0.008106618755236772,0.03860713008865966,-5.260351309372536,1.4378043144854157e-07,39.91525423728813,True
Outcome of Board Meeting,t2,2023-2024,5d,1180,-0.0074810219139106945,-0.011676332298938052,0.05625407898224339,-4.568229478523968,4.918613603526867e-06,40.08474576271187,True
Outcome of Board Meeting,t2,2025-2026,20d,2003,-0.011550978867424396,-0.021089563213774865,0.09670870166521064,-5.345566186023789,9.013485345690949e-08,39.9400898652022,True
Outcome of Board Meeting,t2,2025-2026,2d,2003,-0.005207453481234584,-0.007152740023674942,0.039701078752618746,-5.870344198361171,4.34891303671407e-09,40.63904143784324,True
Outcome of Board Meeting,t2,2025-2026,5d,2003,-0.007527835914581046,-0.009630721861796587,0.055008265015620395,-6.124669686506557,9.087192430588075e-10,40.43934098851722,True
Outcome of Board Meeting,t3,2020-2022,20d,813,-0.019742909151953363,-0.024809443453212787,0.09587647935710716,-5.8714361414489655,4.320360116587766e-09,38.00738007380074,True
Outcome of Board Meeting,t3,2020-2022,2d,813,-0.003223715133065258,-0.007907247195504175,0.038494488102019324,-2.387829877514775,0.016948185073358595,41.20541205412054,True
Outcome of Board Meeting,t3,2020-2022,5d,813,-0.0066380425292789915,-0.009713601198305888,0.05223056643798931,-3.6237695185849157,0.0002903403540481317,40.22140221402214,True
Outcome of Board Meeting,t3,2023-2024,20d,852,-0.021442557157616077,-0.03040635365241484,0.08945656461915563,-6.996553474044065,2.62335675811967e-12,33.80281690140845,True
Outcome of Board Meeting,t3,2023-2024,2d,852,-0.006841781561182376,-0.009291020190363042,0.03226290905538278,-6.189926294013731,6.019235388395537e-10,36.971830985915496,True
